timestamp_rel,guest_total,guest_used,guest_free,guest_buff_cache,guest_avail,anon_pages
0.14,287296,97944,104096,85256,174692,85124
1.42,287296,97928,104100,85268,174700,85160
2.61,287296,97808,104216,85272,174820,85160
3.78,287296,97812,104212,85272,174816,85152
5.00,287296,99240,100464,87592,173376,86648
6.38,287296,99804,96384,91108,172768,85196
8.53,287296,98568,80500,108228,173944,85248
10.63,287296,98796,72164,116336,173660,85532
12.81,287296,100452,60404,126440,172020,85908
15.10,287296,99576,59160,128560,172764,86300
16.57,287296,101984,54764,130548,170468,91136
18.72,287296,110444,46304,130548,162008,96280
21.38,287296,118404,38332,130560,154044,107052
24.36,287296,127528,29204,130564,144924,103440
26.22,287296,127520,29204,130572,144928,110224
27.84,287296,127520,29204,130572,144928,112036
30.06,287296,125436,26092,135768,141820,112240
31.77,287296,127624,23128,136544,138864,113680
33.18,287296,127624,23128,136544,138864,113728
34.58,287296,127624,23128,136544,138864,113780
35.96,287296,127624,23128,136544,138864,113820
37.34,287296,127624,23128,136544,138864,113844
38.75,287296,127620,23128,136548,138868,113916
40.17,287296,127620,23128,136548,138868,113928
41.57,287296,127620,23128,136548,138868,113944
43.00,287296,127620,23128,136548,138868,114008
44.45,287296,126216,24528,136552,140272,112448
46.26,287296,124364,32332,130600,148076,111388
48.06,287296,124388,32308,130600,148052,111460
49.85,287296,124388,32308,130600,148052,87640
51.74,287296,98936,57760,130600,173500,86028
53.58,287296,98916,57780,130600,173520,86080
54.85,287296,98972,57724,130600,173464,86072
56.03,287296,98976,57720,130600,173460,86068
57.23,287296,98976,57720,130600,173460,86072
58.44,287296,99032,57664,130600,173404,86072
59.68,287296,98952,57744,130600,173488,86084
60.92,287296,98952,57744,130600,173488,86072
62.21,287296,98952,57744,130600,173488,86068
63.50,287296,98952,57744,130600,173488,86084
64.86,287296,98948,57744,130604,173492,86068
66.23,287296,98948,57744,130604,173492,86072
67.56,287296,98948,57744,130604,173492,86064
68.86,287296,98948,57744,130604,173492,86072
70.17,287296,98948,57744,130604,173492,86084
