timestamp_rel,host_total,host_used,host_free,host_buff_cache,host_avail,mem_slab,engine_pool,engine_stored,hyp_rss, hyp_tot
0.04,142728,130180,3756,8792,3256,10268,21147648,24297,97164, 329488
1.31,142728,130140,3756,8832,3272,10284,21147648,24296,97188, 329488
2.52,142728,130136,3756,8836,3276,10292,21147648,24296,97220, 329488
3.80,142728,128216,4996,9516,4844,10312,21184512,25037,95412, 329488
5.27,142728,127472,5932,9324,5692,10360,19664896,25428,96836, 329488
6.69,142728,125820,4628,12280,7124,10544,20119552,27854,94284, 329488
8.52,142728,129096,3384,10248,3816,10712,23515136,31510,93800, 329488
10.43,142728,125776,2912,14040,7180,11016,28106752,34052,87120, 329488
12.14,142728,126424,2800,13504,6508,11320,33210368,37161,83856, 329488
13.88,142728,126908,3404,12416,6016,11472,37314560,39158,77904, 329488
15.44,142728,129012,2748,10968,3920,11552,39960576,40142,77872, 329488
16.98,142728,130600,2368,9760,2348,11696,46628864,43000,72604, 329488
18.70,142728,127300,7504,7924,6568,11872,47931392,44356,68000, 329488
20.09,142728,129100,6444,7184,5132,11904,48144384,44653,69724, 329488
21.80,142728,131952,4936,5840,2956,11972,50122752,46311,70104, 329488
23.33,142728,135392,2336,5000,0,12144,54358016,48334,68828, 329488
24.86,142728,133828,3916,4984,1512,12264,56954880,49359,64472, 329488
26.33,142728,133792,4124,4812,1632,12284,57278464,49160,64576, 329488
27.81,142728,133336,4604,4788,2100,12288,57827328,49291,63756, 329488
29.23,142728,133256,4760,4712,2208,12292,58126336,49739,63348, 329488
30.63,142728,132492,5580,4656,3000,12372,58163200,50995,62288, 329488
31.96,142728,132824,5260,4644,2664,12376,58163200,50982,62624, 329488
33.32,142728,132920,5160,4648,2588,12380,58097664,50965,62780, 329488
34.66,142728,132984,5096,4648,2524,12380,58032128,50946,62896, 329488
36.02,142728,133040,5040,4648,2468,12380,57966592,50930,62996, 329488
37.38,142728,132192,5532,5004,3136,12384,57786368,51066,62424, 329488
38.73,142728,132344,5380,5004,2964,12384,57786368,51066,62512, 329488
40.08,142728,132452,5272,5004,2876,12384,57786368,51066,62528, 329488
41.43,142728,132460,5264,5004,2868,12384,57786368,51066,62556, 329488
42.77,142728,132588,5136,5004,2740,12380,57786368,51033,62708, 329488
44.12,142728,132772,4944,5012,2452,12380,57786368,50988,62932, 329488
45.46,142728,133548,4396,4784,1872,12380,57831424,50796,63736, 329488
46.82,142728,134496,3556,4676,1004,12376,57888768,50701,64300, 329488
48.35,142728,133704,4516,4508,1864,12380,59228160,50656,62068, 329488
49.86,142728,133348,4900,4480,2228,12416,60108800,50599,61380, 329488
51.26,142728,133740,4584,4404,1880,12416,60248064,50573,60952, 329488
52.70,142728,133284,5076,4368,2364,12416,60215296,50468,61068, 329488
54.04,142728,133416,4944,4368,2172,12420,60215296,50443,61168, 329488
55.25,142728,133484,4876,4368,2164,12420,60215296,50441,61176, 329488
56.46,142728,133484,4876,4368,2164,12420,60215296,50441,61176, 329488
57.68,142728,133560,4796,4372,2084,12424,60215296,50411,61296, 329488
58.94,142728,133592,4764,4372,2052,12420,60215296,50411,61296, 329488
60.20,142728,133592,4764,4372,1352,12420,60215296,50411,61296, 329488
61.49,142728,132908,5508,4312,2768,12420,59330560,50253,61500, 329488
62.79,142728,133044,5332,4352,2612,12420,59330560,50227,61604, 329488
64.12,142728,133220,5152,4356,2432,12412,59330560,50176,61812, 329488
65.53,142728,133248,5116,4364,2396,12420,59330560,50164,61812, 329488
66.85,142728,133244,5080,4404,2384,12420,59330560,50164,61812, 329488
68.15,142728,133292,5032,4404,2336,12424,59330560,50155,61852, 329488
69.46,142728,133712,4604,4412,1912,12424,59330560,50054,62260, 329488
