timestamp_rel,mem_free,mem_slab,ksm_sharing,pgmajfault,engine_pool,engine_stored,engine_rejected
0.04,4396,6632,0,54426,22351872,120848384,0
1.29,4492,6688,0,54426,22364160,120995840,0
2.59,4380,6688,0,54430,22364160,120995840,0
3.83,4292,6692,0,54434,22364160,120995840,0
5.04,4236,6688,0,54435,22364160,120995840,0
6.22,4236,6688,0,54435,22364160,120995840,0
7.40,4236,6688,0,54436,22364160,120995840,0
8.61,4280,6688,0,54436,22364160,120995840,0
9.81,4224,6692,0,54437,22364160,120995840,0
11.07,3528,6692,0,54437,22364160,120995840,0
12.24,3528,6692,0,54437,22364160,120995840,0
13.41,3528,6692,0,54437,22364160,120995840,0
14.65,3528,6692,0,54437,22364160,120995840,0
15.93,3528,6692,0,54437,22364160,120995840,0
17.35,3528,6692,0,54437,22364160,120995840,0
18.53,3528,6692,0,54438,22364160,120991744,0
19.72,3528,6688,0,54438,22364160,120991744,0
20.92,2384,6696,0,54781,22499328,122503168,0
22.60,2104,6744,0,57986,24080384,130236416,0
24.13,2852,6792,0,59826,28921856,141504512,0
25.65,2600,6836,0,61490,31645696,154677248,0
27.35,2152,6916,0,62905,33878016,164556800,0
29.53,2460,6992,0,65681,38666240,179294208,0
31.01,2316,7068,0,66325,43143168,190889984,0
32.80,2704,7132,0,68132,46759936,200159232,0
34.20,4012,7156,0,68779,49987584,205840384,0
35.67,4032,7164,0,70049,51113984,209735680,0
37.10,2344,7192,0,72278,52629504,214708224,0
38.85,2204,7228,0,74316,57229312,224780288,0
41.02,5292,7308,0,75935,59965440,230653952,0
42.48,4020,7312,0,76964,61313024,230600704,0
43.85,4484,7324,0,78453,61816832,229212160,0
45.21,3672,7316,0,80478,62717952,228384768,0
46.59,4984,7320,0,81444,64131072,230993920,0
48.04,2188,7336,0,83215,64065536,234082304,0
50.05,2636,7400,0,83804,66252800,245686272,0
51.97,3312,7448,0,85862,68894720,251080704,0
53.36,4344,7488,0,86846,71532544,252923904,0
54.70,5820,7496,0,87767,71532544,254668800,0
56.08,2304,7520,0,90586,73121792,260894720,0
58.34,2256,7584,0,90776,76713984,269987840,0
59.87,2840,7608,0,92326,78987264,272994304,0
61.25,4524,7628,0,93957,79896576,272932864,0
62.76,4516,7624,0,95888,79745024,271151104,0
64.38,3724,7628,0,96213,80076800,270974976,0
65.68,4308,7624,0,96527,80228352,271233024,0
67.13,2208,7624,0,97831,81076224,270041088,0
78.25,2356,7652,0,98376,83632128,276832256,0
79.66,3256,7656,0,101056,83783680,271175680,0
81.82,2020,7668,0,101726,85295104,275230720,0
83.76,2140,7688,0,102254,88240128,280039424,0
85.23,2520,7712,0,104773,87019520,277458944,0
87.01,4380,7720,0,106221,89325568,281227264,0
88.44,3896,7724,0,108109,89350144,276836352,0
90.66,2824,7736,0,109970,90669056,280940544,0
92.07,4060,7740,0,110871,90689536,280100864,0
93.44,2552,7736,0,112692,90390528,278462464,0
94.91,3612,7732,0,113878,91496448,280076288,0
96.38,3868,7732,0,115185,92073984,281436160,0
98.16,2460,7744,0,117307,92651520,284971008,0
99.79,3688,7740,0,119470,91860992,281296896,0
101.40,2736,7752,0,121822,90591232,278999040,0
102.82,2700,7744,0,123395,90816512,280334336,0
104.30,2500,7744,0,125175,91738112,282267648,0
105.72,3548,7748,0,126789,91049984,281645056,0
107.12,3984,7752,0,128945,88707072,276455424,0
108.53,3572,7760,0,130364,88469504,275861504,0
109.97,4052,7764,0,131599,88207360,275607552,0
111.33,4224,7760,0,132842,87900160,275402752,0
112.75,3720,7760,0,134427,87126016,274685952,0
114.15,4288,7768,0,135906,86163456,273379328,0
115.51,4564,7760,0,137221,85471232,270868480,0
117.19,3320,7760,0,138312,85028864,271040512,0
118.59,3872,7760,0,139503,84672512,270663680,0
119.96,2728,7760,0,140638,84983808,270917632,0
121.36,4004,7764,0,141416,85839872,274100224,0
122.76,2308,7764,0,142950,86261760,274964480,0
124.15,4112,7764,0,144070,85753856,275369984,0
125.58,3748,7760,0,146000,84455424,273018880,0
126.98,4348,7760,0,147616,83689472,271474688,0
128.40,4392,7768,0,148896,82694144,270573568,0
129.71,4292,7760,0,150460,81412096,267894784,0
131.09,4180,7760,0,151829,81252352,267464704,0
132.44,3708,7764,0,153253,81162240,266907648,0
133.83,2984,7764,0,154680,80891904,266514432,0
